Date,Product,Brand,Size,Quantity Sold,Unit Price (₹),Margin (%),Profit (₹),Net Profit (₹),Total Revenue (₹),Tax (GST % ),Tax Amount (₹),Net Tax (₹),Dealer,Stock Availability,Dealer Location
06-01-2023,Sandals,Nike,8,28,14118.22,15%,59296.52,11970.58,395310.16,12%,47437.22,47437.22,Dealer_4,123,Haryana
06-01-2023,Sandals,Paragon,10,34,2154.68,40%,29303.65,20472.27,73259.12,12%,8791.09,8791.09,Dealer_4,89,Haryana
06-01-2023,Boots,Reebok,7,24,5475.08,20%,26280.38,10495.22,131401.92,12%,15768.23,15768.23,Dealer_6,65,Pune
06-01-2023,Flats,Bata,6,27,3336.71,30%,27027.35,16281.97,90091.17,12%,10810.94,10810.94,Dealer_6,185,Pune
06-01-2023,Sneakers,Nike,9,15,13216.11,15%,29736.25,6127.82,198241.65,12%,23789.0,23789.0,Dealer_1,67,Delhi
06-01-2023,Flats,Puma,8,25,6678.78,20%,33393.9,13490.06,166969.5,12%,20036.34,20036.34,Dealer_6,113,Pune
06-01-2023,Flats,Paragon,6,29,704.96,40%,8177.54,5627.04,20443.84,12%,2453.26,2453.26,Dealer_6,199,Pune
06-01-2023,Flats,Woodland,8,35,3225.56,20%,22578.92,8837.31,112894.6,12%,13547.35,13547.35,Dealer_7,7,Mumbai
07-01-2023,Sandals,Bata,7,45,2828.9,30%,38190.15,23150.05,127300.5,12%,15276.06,15276.06,Dealer_7,68,Mumbai
07-01-2023,Sneakers,Bata,9,42,4984.39,30%,62803.31,37908.89,209344.38,12%,25121.33,25121.33,Dealer_1,187,Delhi
07-01-2023,Boots,Woodland,8,46,7599.56,20%,69915.95,27985.23,349579.76,12%,41949.57,41949.57,Dealer_1,112,Delhi
07-01-2023,Sandals,Reebok,7,39,7002.47,20%,54619.27,21720.66,273096.33,12%,32771.56,32771.56,Dealer_7,127,Mumbai
07-01-2023,Flats,Paragon,9,50,2169.66,40%,43393.2,30471.56,108483.0,12%,13017.96,13017.96,Dealer_6,126,Pune
07-01-2023,Flats,Nike,7,51,4385.14,15%,33546.32,6698.47,223642.14,12%,26837.06,26837.06,Dealer_2,191,Delhi
07-01-2023,Sneakers,Sketchers,8,56,2447.83,25%,34269.62,17808.9,137078.48,12%,16449.42,16449.42,Dealer_3,102,Mumbai
07-01-2023,Flats,Paragon,8,54,1721.33,40%,37180.73,26115.96,92951.82,12%,11154.22,11154.22,Dealer_1,73,Delhi
07-01-2023,Flats,Bata,8,43,1014.18,30%,13082.92,7883.19,43609.74,12%,5233.17,5233.17,Dealer_7,83,Mumbai
07-01-2023,Flats,Sketchers,7,46,3982.56,25%,45799.44,23697.13,183197.76,12%,21983.73,21983.73,Dealer_5,193,Haryana
08-01-2023,Sneakers,Nike,10,49,9547.08,15%,70171.04,14001.73,467806.92,12%,56136.83,56136.83,Dealer_3,199,Mumbai
08-01-2023,Flats,Adidas,8,53,2334.63,15%,18560.31,3778.18,123735.39,12%,14848.25,14848.25,Dealer_3,60,Mumbai
08-01-2023,Sandals,Adidas,10,45,7335.47,15%,49514.42,9953.91,330096.15,12%,39611.54,39611.54,Dealer_3,193,Mumbai
08-01-2023,Heels,Bata,9,49,4703.06,30%,69134.98,41507.19,230449.94,12%,27653.99,27653.99,Dealer_2,91,Delhi
08-01-2023,Flats,Adidas,8,43,3434.89,15%,22155.04,4524.35,147700.27,12%,17724.03,17724.03,Dealer_3,155,Mumbai
08-01-2023,Flats,Paragon,10,41,1167.01,40%,19138.96,13361.1,47847.41,12%,5741.69,5741.69,Dealer_7,77,Mumbai
08-01-2023,Sandals,Nike,9,57,5394.87,15%,46126.14,9243.09,307507.59,12%,36900.91,36900.91,Dealer_4,139,Haryana
08-01-2023,Sandals,Puma,7,53,5130.18,20%,54379.91,21414.41,271899.54,12%,32627.94,32627.94,Dealer_3,134,Mumbai
08-01-2023,Sandals,Nike,11,42,7213.75,15%,45446.62,9044.36,302977.5,12%,36357.3,36357.3,Dealer_6,152,Pune
08-01-2023,Flats,Paragon,8,57,788.35,40%,17974.38,12658.46,44935.95,12%,5392.31,5392.31,Dealer_2,95,Delhi
08-01-2023,Flats,Sketchers,6,43,4184.57,25%,44984.13,23352.71,179936.51,12%,21592.38,21592.38,Dealer_3,130,Mumbai
08-01-2023,Sandals,Paragon,9,49,1462.99,40%,28674.6,20025.6,71686.51,12%,8602.38,8602.38,Dealer_6,98,Pune
09-01-2023,Sneakers,Paragon,8,37,1799.8,40%,26637.04,18541.78,66592.6,12%,7991.11,7991.11,Dealer_6,100,Pune
09-01-2023,Sandals,Bata,6,34,3492.62,30%,35624.72,21475.17,118749.08,12%,14249.89,14249.89,Dealer_6,81,Pune
09-01-2023,Flats,Reebok,9,36,6001.36,20%,43209.79,17338.76,216048.96,12%,25925.88,25925.88,Dealer_3,153,Mumbai
09-01-2023,Flats,Reebok,9,50,3151.04,20%,31510.4,12686.7,157552.0,12%,18906.24,18906.24,Dealer_6,147,Pune
09-01-2023,Flats,Paragon,7,17,1922.76,40%,13074.77,8979.72,32686.92,12%,3922.43,3922.43,Dealer_3,190,Mumbai
09-01-2023,Heels,Nike,8,38,5522.19,15%,31476.48,6279.25,209843.22,12%,25181.19,25181.19,Dealer_6,132,Pune
10-01-2023,Sandals,Bata,10,33,3044.7,30%,30142.53,18057.51,100475.1,12%,12057.01,12057.01,Dealer_7,93,Mumbai
10-01-2023,Flats,Nike,8,25,10966.25,15%,41123.44,8196.63,274156.25,12%,32898.75,32898.75,Dealer_6,135,Pune
10-01-2023,Sneakers,Metro,7,30,1898.56,30%,17087.04,10190.62,56956.8,12%,6834.82,6834.82,Dealer_2,87,Delhi
10-01-2023,Sneakers,Nike,7,7,10335.29,15%,10852.05,2135.8,72347.03,12%,8681.64,8681.64,Dealer_7,68,Mumbai
10-01-2023,Sandals,Bata,10,35,1777.74,30%,18666.27,11284.73,62220.9,12%,7466.51,7466.51,Dealer_7,148,Mumbai
10-01-2023,Sandals,Bata,7,30,3624.23,30%,32618.07,19379.56,108726.9,12%,13047.23,13047.23,Dealer_1,77,Delhi
10-01-2023,Flats,Bata,7,42,4216.44,30%,53127.14,32054.02,177090.48,12%,21250.86,21250.86,Dealer_7,182,Mumbai
10-01-2023,Sandals,Nike,9,26,14009.64,15%,54637.6,10975.9,364250.64,12%,43710.08,43710.08,Dealer_2,166,Delhi
11-01-2023,Flats,Bata,10,27,4951.57,30%,40107.72,24060.4,133692.39,12%,16043.09,16043.09,Dealer_6,131,Pune
11-01-2023,Flats,Bata,9,29,2706.96,30%,23550.55,14221.01,78501.84,12%,9420.22,9420.22,Dealer_6,7,Pune
11-01-2023,Sneakers,Paragon,9,46,1147.98,40%,21122.83,14640.8,52807.08,12%,6336.85,6336.85,Dealer_2,120,Delhi
11-01-2023,Flats,Metro,9,42,3506.99,30%,44188.07,26446.37,147293.58,12%,17675.23,17675.23,Dealer_2,162,Delhi
11-01-2023,Sneakers,Paragon,8,36,1179.29,40%,16981.78,11875.14,42454.44,12%,5094.53,5094.53,Dealer_3,188,Mumbai
12-01-2023,Sneakers,Adidas,7,28,7551.6,15%,31716.72,6479.9,211444.8,12%,25373.38,25373.38,Dealer_7,104,Mumbai
12-01-2023,Sneakers,Bata,8,32,3170.44,30%,30436.22,18257.08,101454.08,12%,12174.49,12174.49,Dealer_5,65,Haryana
12-01-2023,Boots,Bata,8,43,4784.25,30%,61716.82,37075.1,205722.75,12%,24686.73,24686.73,Dealer_1,197,Delhi
12-01-2023,Sandals,Liberty,6,25,1246.53,40%,12465.3,8666.75,31163.25,12%,3739.59,3739.59,Dealer_3,157,Mumbai
13-01-2023,Flats,Paragon,9,35,2744.53,40%,38423.42,26945.08,96058.55,12%,11527.03,11527.03,Dealer_4,106,Haryana
13-01-2023,Sandals,Bata,9,37,2555.43,30%,28365.27,17186.89,94550.91,12%,11346.11,11346.11,Dealer_6,153,Pune
13-01-2023,Flats,Adidas,8,14,9845.78,15%,20676.14,4234.78,137840.92,12%,16540.91,16540.91,Dealer_6,56,Pune
13-01-2023,Sandals,Paragon,9,40,709.87,40%,11357.92,7942.4,28394.8,12%,3407.38,3407.38,Dealer_5,84,Haryana
13-01-2023,Heels,Bata,7,32,2040.63,30%,19590.05,11821.58,65300.16,12%,7836.02,7836.02,Dealer_3,104,Mumbai
13-01-2023,Sandals,Bata,8,35,2113.03,30%,22186.82,13369.84,73956.05,12%,8874.73,8874.73,Dealer_5,114,Haryana
13-01-2023,Heels,Nike,9,28,11988.29,15%,50350.82,10120.82,335672.12,12%,40280.65,40280.65,Dealer_1,139,Delhi
13-01-2023,Boots,Paragon,6,16,2385.58,40%,15267.71,10798.59,38169.28,12%,4580.31,4580.31,Dealer_2,101,Delhi
13-01-2023,Heels,Nike,9,30,5862.54,15%,26381.43,5386.73,175876.2,12%,21105.14,21105.14,Dealer_4,79,Haryana
13-01-2023,Flats,Adidas,8,24,8135.18,15%,29286.65,5844.61,195244.32,12%,23429.32,23429.32,Dealer_2,79,Delhi
14-01-2023,Sandals,Nike,9,38,14146.65,15%,80635.9,16191.37,537572.7,12%,64508.72,64508.72,Dealer_6,146,Pune
14-01-2023,Sandals,Paragon,7,45,1980.24,40%,35644.32,24912.71,89110.8,12%,10693.3,10693.3,Dealer_6,112,Pune
14-01-2023,Sneakers,Paragon,11,46,2625.73,40%,48313.43,33727.1,120783.58,12%,14494.03,14494.03,Dealer_6,80,Pune
14-01-2023,Flats,Paragon,6,56,1831.86,40%,41033.66,28696.62,102584.16,12%,12310.1,12310.1,Dealer_6,144,Pune
14-01-2023,Sneakers,Woodland,10,54,2075.91,20%,22419.83,8960.3,112099.14,12%,13451.9,13451.9,Dealer_5,175,Haryana
14-01-2023,Sneakers,Bata,8,48,4566.3,30%,65754.72,39286.67,219182.4,12%,26301.89,26301.89,Dealer_4,89,Haryana
14-01-2023,Sandals,Adidas,10,45,9723.79,15%,65635.58,13213.15,437570.55,12%,52508.47,52508.47,Dealer_2,187,Delhi
14-01-2023,Flats,Liberty,8,36,2564.34,40%,36926.5,25571.81,92316.24,12%,11077.95,11077.95,Dealer_6,118,Pune
14-01-2023,Sandals,Puma,6,40,6348.97,20%,50791.76,20588.19,253958.8,12%,30475.06,30475.06,Dealer_2,168,Delhi
14-01-2023,Flats,Paragon,10,52,1340.99,40%,27892.59,19675.0,69731.48,12%,8367.78,8367.78,Dealer_4,133,Haryana
15-01-2023,Sandals,Adidas,8,64,4722.71,15%,45338.02,9041.5,302253.44,12%,36270.41,36270.41,Dealer_6,120,Pune
15-01-2023,Flats,Nike,9,52,4027.36,15%,31413.41,6283.62,209422.72,12%,25130.73,25130.73,Dealer_7,154,Mumbai
15-01-2023,Sandals,Paragon,11,51,2226.52,40%,45421.01,31825.0,113552.52,12%,13626.3,13626.3,Dealer_6,175,Pune
15-01-2023,Sandals,Nike,6,38,5659.16,15%,32257.21,6392.53,215048.08,12%,25805.77,25805.77,Dealer_7,112,Mumbai
15-01-2023,Sandals,Paragon,9,47,1683.15,40%,31643.22,22169.52,79108.05,12%,9492.97,9492.97,Dealer_6,138,Pune
15-01-2023,Sandals,Paragon,9,62,1379.53,40%,34212.34,23934.24,85530.86,12%,10263.7,10263.7,Dealer_4,119,Haryana
15-01-2023,Sandals,Sketchers,7,46,4745.78,25%,54576.47,28370.34,218305.88,12%,26196.71,26196.71,Dealer_3,80,Mumbai
15-01-2023,Flats,Paragon,11,55,978.85,40%,21534.7,15092.44,53836.75,12%,6460.41,6460.41,Dealer_7,173,Mumbai
15-01-2023,Sandals,Paragon,9,47,1991.98,40%,37449.22,26083.1,93623.06,12%,11234.77,11234.77,Dealer_2,99,Delhi
15-01-2023,Sandals,Puma,8,62,3162.47,20%,39214.63,15689.81,196073.14,12%,23528.78,23528.78,Dealer_7,186,Mumbai
15-01-2023,Sneakers,Sketchers,6,29,3990.12,25%,28928.37,15059.1,115713.48,12%,13885.62,13885.62,Dealer_7,82,Mumbai
15-01-2023,Flats,Metro,9,50,4490.88,30%,67363.2,40430.8,224544.0,12%,26945.28,26945.28,Dealer_6,5,Pune
16-01-2023,Sandals,Bata,8,50,4861.99,30%,72929.85,43736.33,243099.5,12%,29171.94,29171.94,Dealer_2,172,Delhi
16-01-2023,Sneakers,Nike,8,24,3888.99,15%,14000.36,2913.86,93335.76,12%,11200.29,11200.29,Dealer_6,63,Pune
16-01-2023,Sneakers,Adidas,9,32,2681.45,15%,12870.96,2538.83,85806.4,12%,10296.77,10296.77,Dealer_2,80,Delhi
16-01-2023,Flats,Metro,8,34,3384.51,30%,34522.0,20735.93,115073.34,12%,13808.8,13808.8,Dealer_6,107,Pune
16-01-2023,Flats,Woodland,8,30,7451.03,20%,44706.18,18012.2,223530.9,12%,26823.71,26823.71,Dealer_3,200,Mumbai
16-01-2023,Sandals,Reebok,9,26,2361.38,20%,12279.18,4903.73,61395.88,12%,7367.51,7367.51,Dealer_7,75,Mumbai
16-01-2023,Flats,Adidas,10,32,4117.17,15%,19762.42,3973.93,131749.44,12%,15809.93,15809.93,Dealer_1,90,Delhi
17-01-2023,Sneakers,Paragon,6,24,506.69,40%,4864.22,3395.32,12160.56,12%,1459.27,1459.27,Dealer_4,170,Haryana
17-01-2023,Sandals,Nike,7,27,11483.47,15%,46508.05,9425.35,310053.69,12%,37206.44,37206.44,Dealer_7,166,Mumbai
17-01-2023,Sneakers,Paragon,7,28,2469.57,40%,27659.18,19335.66,69147.96,12%,8297.76,8297.76,Dealer_6,200,Pune
17-01-2023,Flats,Adidas,8,40,6356.5,15%,38139.0,7756.14,254260.0,12%,30511.2,30511.2,Dealer_6,88,Pune
17-01-2023,Sandals,Adidas,6,24,3327.38,15%,11978.57,2385.35,79857.12,12%,9582.85,9582.85,Dealer_3,195,Mumbai
17-01-2023,Sandals,Bata,7,29,3754.71,30%,32665.98,19513.64,108886.59,12%,13066.39,13066.39,Dealer_7,153,Mumbai
17-01-2023,Sandals,Woodland,9,39,4626.55,20%,36087.09,14502.77,180435.45,12%,21652.25,21652.25,Dealer_6,60,Pune
18-01-2023,Flats,Bata,9,35,1103.46,30%,11586.33,6921.33,38621.1,12%,4634.53,4634.53,Dealer_2,197,Delhi
18-01-2023,Flats,Nike,11,23,9914.96,15%,34206.61,6903.37,228044.08,12%,27365.29,27365.29,Dealer_7,94,Mumbai
18-01-2023,Sandals,Woodland,10,42,7496.44,20%,62970.1,24915.1,314850.48,12%,37782.06,37782.06,Dealer_2,199,Delhi
18-01-2023,Sandals,Paragon,9,29,1675.03,40%,19430.35,13601.76,48575.87,12%,5829.1,5829.1,Dealer_5,135,Haryana
18-01-2023,Sandals,Paragon,7,36,1324.51,40%,19072.94,13305.1,47682.36,12%,5721.88,5721.88,Dealer_7,176,Mumbai
18-01-2023,Sandals,Paragon,8,39,591.74,40%,9231.14,6355.47,23077.86,12%,2769.34,2769.34,Dealer_1,130,Delhi
18-01-2023,Sandals,Bata,7,37,4459.64,30%,49502.0,29645.88,165006.68,12%,19800.8,19800.8,Dealer_1,188,Delhi
19-01-2023,Sandals,Nike,7,20,7341.35,15%,22024.05,4347.44,146827.0,12%,17619.24,17619.24,Dealer_7,177,Mumbai
19-01-2023,Flats,Bata,11,20,1814.23,30%,10885.38,6526.43,36284.6,12%,4354.15,4354.15,Dealer_6,83,Pune
19-01-2023,Sandals,Bata,10,39,1485.7,30%,17382.69,10292.88,57942.3,12%,6953.08,6953.08,Dealer_6,111,Pune
19-01-2023,Flats,Adidas,8,35,2109.4,15%,11074.35,2246.5,73829.0,12%,8859.48,8859.48,Dealer_5,73,Haryana
19-01-2023,Boots,Nike,8,31,10772.52,15%,50092.22,10155.07,333948.12,12%,40073.77,40073.77,Dealer_2,177,Delhi
19-01-2023,Flats,Reebok,9,41,4492.94,20%,36842.11,14764.94,184210.54,12%,22105.26,22105.26,Dealer_4,170,Haryana
19-01-2023,Boots,Bata,9,37,2534.34,30%,28131.17,16959.6,93770.58,12%,11252.47,11252.47,Dealer_6,180,Pune
20-01-2023,Sneakers,Nike,8,31,7078.5,15%,32915.02,6692.46,219433.5,12%,26332.02,26332.02,Dealer_6,118,Pune
20-01-2023,Heels,Nike,8,20,13049.71,15%,39149.13,7953.47,260994.2,12%,31319.3,31319.3,Dealer_6,5,Pune
20-01-2023,Heels,Adidas,8,30,5874.73,15%,26436.28,5474.27,176241.9,12%,21149.03,21149.03,Dealer_3,191,Mumbai
20-01-2023,Flats,Paragon,8,46,2832.13,40%,52111.19,36427.91,130277.98,12%,15633.36,15633.36,Dealer_2,111,Delhi
20-01-2023,Flats,Bata,7,38,1174.59,30%,13390.33,7962.35,44634.42,12%,5356.13,5356.13,Dealer_7,171,Mumbai
20-01-2023,Flats,Bata,8,24,2981.31,30%,21465.43,12957.61,71551.44,12%,8586.17,8586.17,Dealer_1,82,Delhi
20-01-2023,Flats,Paragon,8,37,2685.48,40%,39745.1,27892.4,99362.76,12%,11923.53,11923.53,Dealer_4,75,Haryana
20-01-2023,Flats,Bata,6,18,2639.91,30%,14255.51,8630.88,47518.38,12%,5702.21,5702.21,Dealer_6,89,Pune
20-01-2023,Sneakers,Liberty,8,38,2058.15,40%,31283.88,22087.64,78209.7,12%,9385.16,9385.16,Dealer_3,70,Mumbai
20-01-2023,Heels,Bata,10,45,2520.04,30%,34020.54,20413.46,113401.8,12%,13608.22,13608.22,Dealer_3,174,Mumbai
21-01-2023,Sneakers,Paragon,6,36,2077.9,40%,29921.76,20987.85,74804.4,12%,8976.53,8976.53,Dealer_3,108,Mumbai
21-01-2023,Flats,Nike,8,44,12124.44,15%,80021.3,15906.22,533475.36,12%,64017.04,64017.04,Dealer_7,75,Mumbai
21-01-2023,Sandals,Adidas,10,46,9227.39,15%,63668.99,12947.33,424459.94,12%,50935.19,50935.19,Dealer_1,133,Delhi
21-01-2023,Flats,Nike,8,50,7498.09,15%,56235.68,11213.48,374904.5,12%,44988.54,44988.54,Dealer_2,112,Delhi
21-01-2023,Flats,Bata,9,68,1679.93,30%,34270.57,20531.52,114235.24,12%,13708.23,13708.23,Dealer_1,147,Delhi
21-01-2023,Flats,Paragon,7,43,2782.07,40%,47851.6,33461.45,119629.01,12%,14355.48,14355.48,Dealer_2,109,Delhi
21-01-2023,Sandals,Paragon,8,48,1138.32,40%,21855.74,15234.53,54639.36,12%,6556.72,6556.72,Dealer_1,169,Delhi
21-01-2023,Sandals,Paragon,9,53,684.65,40%,14514.58,10087.26,36286.45,12%,4354.37,4354.37,Dealer_3,200,Mumbai
21-01-2023,Sandals,Paragon,8,44,1642.09,40%,28900.78,20178.18,72251.96,12%,8670.24,8670.24,Dealer_3,100,Mumbai
21-01-2023,Sandals,Liberty,7,50,1453.41,40%,29068.2,20211.16,72670.5,12%,8720.46,8720.46,Dealer_3,197,Mumbai
21-01-2023,Sandals,Paragon,8,53,2944.86,40%,62431.03,43623.19,156077.58,12%,18729.31,18729.31,Dealer_6,151,Pune
21-01-2023,Sandals,Nike,9,47,13927.4,15%,98188.17,19832.53,654587.8,12%,78550.54,78550.54,Dealer_7,177,Mumbai
22-01-2023,Flats,Puma,9,59,2704.52,20%,31913.34,12838.9,159566.68,12%,19148.0,19148.0,Dealer_2,114,Delhi
22-01-2023,Flats,Metro,10,46,3512.99,30%,48479.26,29180.15,161597.54,12%,19391.7,19391.7,Dealer_6,60,Pune
22-01-2023,Sandals,Bata,6,49,2459.44,30%,36153.77,21809.98,120512.56,12%,14461.51,14461.51,Dealer_2,73,Delhi
22-01-2023,Sandals,Bata,10,52,1702.56,30%,26559.94,16119.38,88533.12,12%,10623.97,10623.97,Dealer_2,188,Delhi
22-01-2023,Sandals,Woodland,9,70,6982.84,20%,97759.76,38926.76,488798.8,12%,58655.86,58655.86,Dealer_2,173,Delhi
22-01-2023,Flats,Reebok,10,47,6825.4,20%,64158.76,25540.52,320793.8,12%,38495.26,38495.26,Dealer_4,69,Haryana
22-01-2023,Sneakers,Metro,7,38,4869.08,30%,55507.51,33224.13,185025.04,12%,22203.0,22203.0,Dealer_6,143,Pune
22-01-2023,Sneakers,Bata,6,35,3146.29,30%,33036.04,19774.65,110120.15,12%,13214.42,13214.42,Dealer_4,144,Haryana
22-01-2023,Flats,Paragon,10,55,1961.4,40%,43150.8,30175.5,107877.0,12%,12945.24,12945.24,Dealer_6,145,Pune
22-01-2023,Sneakers,Paragon,7,47,562.56,40%,10576.13,7358.59,26440.32,12%,3172.84,3172.84,Dealer_6,133,Pune
22-01-2023,Flats,Puma,10,52,4994.72,20%,51945.09,20799.97,259725.44,12%,31167.05,31167.05,Dealer_4,127,Haryana
22-01-2023,Flats,Bata,7,50,1181.39,30%,17720.85,10636.04,59069.5,12%,7088.34,7088.34,Dealer_1,127,Delhi
22-01-2023,Sandals,Nike,7,35,13647.11,15%,71647.33,14257.18,477648.85,12%,57317.86,57317.86,Dealer_2,149,Delhi
23-01-2023,Sandals,Paragon,10,28,1547.82,40%,17335.58,11917.35,43338.96,12%,5200.68,5200.68,Dealer_7,89,Mumbai
23-01-2023,Sandals,Paragon,7,18,2039.13,40%,14681.74,10177.93,36704.34,12%,4404.52,4404.52,Dealer_2,58,Delhi
23-01-2023,Flats,Bata,7,28,2778.78,30%,23341.75,13950.13,77805.84,12%,9336.7,9336.7,Dealer_2,142,Delhi
23-01-2023,Sneakers,Paragon,8,41,2754.24,40%,45169.54,31593.97,112923.84,12%,13550.86,13550.86,Dealer_6,141,Pune
23-01-2023,Sneakers,Bata,8,31,4872.83,30%,45317.32,27077.42,151057.73,12%,18126.93,18126.93,Dealer_4,73,Haryana
23-01-2023,Flats,Adidas,10,19,6777.17,15%,19314.93,3813.91,128766.23,12%,15451.95,15451.95,Dealer_1,62,Delhi
23-01-2023,Flats,Bata,7,24,4147.91,30%,29864.95,17805.87,99549.84,12%,11945.98,11945.98,Dealer_2,7,Delhi
24-01-2023,Boots,Paragon,7,31,1321.4,40%,16385.36,11457.17,40963.4,12%,4915.61,4915.61,Dealer_2,50,Delhi
